team,maps_played,wins_draws_lose,total_kills,total_death,k_d_ratio,team,name,total_kills_from_crew,headshots_from_crew,total_death_from_crew,k_d_ratio_from_crew,maps_played_from_crew,rating_2_0_from_crew,team,opponent,map_map,result,w_l
,,,,,,,,,,,,,,Alliance,Rhyno,Anubis,13 - 9,W
,,,,,,,,,,,,,,Alliance,Angel numbers,Ancient,13 - 9,W
,,,,,,,,,,,,,,Alliance,Angel numbers,Inferno,13 - 9,W
,,,,,,,,,,,,,,Alliance,Onliners5,Vertigo,13 - 10,W
,,,,,,,,,,,,,,Alliance,Onliners5,Mirage,16 - 14,W
,,,,,,,,,,,,,,Alliance,Onliners5,Anubis,11 - 13,L
,,,,,,,,,,,,,,Alliance,Kappa Bar,Anubis,13 - 9,W
,,,,,,,,,,,,,,Alliance,Kappa Bar,Mirage,13 - 2,W
,,,,,,,,,,,,,,Alliance,Ninjas in Pyjamas,Ancient,6 - 13,L
,,,,,,,,,,,,,,Alliance,Ninjas in Pyjamas,Overpass,9 - 13,L
,,,,,,,,,,,,,,Alliance,Ninjas in Pyjamas,Inferno,13 - 5,W
,,,,,,,,,,,,,,Alliance,The Prodigies SE,Overpass,13 - 11,W
,,,,,,,,,,,,,,Alliance,The Prodigies SE,Inferno,9 - 13,L
,,,,,,,,,,,,,,Alliance,The Prodigies SE,Vertigo,13 - 10,W
,,,,,,,,,,,,,,Alliance,Lemondogs,Mirage,13 - 9,W
,,,,,,,,,,,,,,Alliance,Lemondogs,Anubis,13 - 10,W
,,,,,,,,,,,,,,Alliance,ARCRED,Mirage,11 - 13,L
,,,,,,,,,,,,,,Alliance,ARCRED,Vertigo,11 - 13,L
,,,,,,,,,,,,,,Alliance,ARCRED,Anubis,13 - 4,W
,,,,,,,,,,,,,,Alliance,Espionage,Inferno,13 - 8,W
,,,,,,,,,,,,,,Alliance,Lilmix,Overpass,13 - 7,W
,,,,,,,,,,,,,,Alliance,Lilmix,Mirage,5 - 13,L
,,,,,,,,,,,,,,Alliance,Lilmix,Anubis,13 - 5,W
,,,,,,,,,,,,,,Alliance,Gucci Academy,Overpass,24 - 28,L
,,,,,,,,,,,,,,Alliance,Gucci Academy,Inferno,13 - 8,W
,,,,,,,,,,,,,,Alliance,Gucci Academy,Mirage,4 - 13,L
,,,,,,,,,,,,,,Alliance,500,Anubis,16 - 14,W
,,,,,,,,,,,,,,Alliance,500,Ancient,13 - 4,W
,,,,,,,,,,,,,,Alliance,JANO,Overpass,13 - 11,W
,,,,,,,,,,,,,,Alliance,JANO,Anubis,13 - 11,W
,,,,,,,,,,,,,,Alliance,JANO,Mirage,10 - 13,L
,,,,,,,,,,,,,,Alliance,EYEBALLERS,Inferno,13 - 16,L
,,,,,,,,,,,,,,Alliance,EYEBALLERS,Mirage,10 - 13,L
,,,,,,,,,,,,,,Alliance,EYEBALLERS,Overpass,13 - 10,W
,,,,,,,,,,,,,,IKLA,HEROIC,Overpass,3 - 13,L
,,,,,,,,,,,,,,IKLA,Eternal Fire,Overpass,10 - 13,L
,,,,,,,,,,,,,,IKLA,PERA,Ancient,13 - 8,W
,,,,,,,,,,,,,,IKLA,Space,Mirage,13 - 8,W
,,,,,,,,,,,,,,IKLA,GODSENT,Nuke,16 - 14,W
,,,,,,,,,,,,,,IKLA,Metizport,Overpass,13 - 5,W
,,,,,,,,,,,,,,IKLA,Pompa,Inferno,13 - 4,W
,,,,,,,,,,,,,,IKLA,TSM,Inferno,15 - 19,L
,,,,,,,,,,,,,,IKLA,Sangal,Ancient,13 - 11,W
,,,,,,,,,,,,,,IKLA,Entropiq,Nuke,10 - 13,L
,,,,,,,,,,,,,,IKLA,ALTERNATE aTTaX,Anubis,4 - 13,L
,,,,,,,,,,,,,,IKLA,ECSTATIC,Inferno,13 - 4,W
,,,,,,,,,,,,,,IKLA,Movistar Riders,Ancient,14 - 16,L
,,,,,,,,,,,,,,IKLA,ORKS,Mirage,13 - 10,W
,,,,,,,,,,,,,,IKLA,Anonymo,Nuke,13 - 16,L
,,,,,,,,,,,,,,IKLA,500,Mirage,13 - 11,W
,,,,,,,,,,,,,,IKLA,Betera,Ancient,9 - 13,L
,,,,,,,,,,,,,,IKLA,HEROIC,Overpass,3 - 13,L
,,,,,,,,,,,,,,IKLA,HEROIC,Nuke,4 - 13,L
,,,,,,,,,,,,,,IKLA,Eternal Fire,Overpass,10 - 13,L
,,,,,,,,,,,,,,IKLA,PERA,Ancient,13 - 8,W
,,,,,,,,,,,,,,IKLA,Space,Mirage,13 - 8,W
,,,,,,,,,,,,,,IKLA,Space,Overpass,13 - 2,W
,,,,,,,,,,,,,,IKLA,Space,Anubis,6 - 13,L
,,,,,,,,,,,,,,IKLA,GODSENT,Nuke,16 - 14,W
,,,,,,,,,,,,,,IKLA,Metizport,Overpass,13 - 5,W
,,,,,,,,,,,,,,IKLA,Pompa,Inferno,13 - 4,W
,,,,,,,,,,,,,,IKLA,Pompa,Ancient,13 - 5,W
,,,,,,,,,,,,,,IKLA,TSM,Inferno,15 - 19,L
,,,,,,,,,,,,,,IKLA,TSM,Overpass,11 - 13,L
,,,,,,,,,,,,,,IKLA,Sangal,Ancient,13 - 11,W
,,,,,,,,,,,,,,IKLA,Sangal,Anubis,13 - 11,W
,,,,,,,,,,,,,,IKLA,Entropiq,Nuke,10 - 13,L
,,,,,,,,,,,,,,IKLA,Entropiq,Anubis,10 - 13,L
,,,,,,,,,,,,,,IKLA,ALTERNATE aTTaX,Anubis,4 - 13,L
,,,,,,,,,,,,,,IKLA,ALTERNATE aTTaX,Ancient,4 - 13,L
,,,,,,,,,,,,,,IKLA,ECSTATIC,Inferno,13 - 4,W
,,,,,,,,,,,,,,IKLA,ECSTATIC,Overpass,9 - 13,L
,,,,,,,,,,,,,,IKLA,ECSTATIC,Nuke,13 - 4,W
,,,,,,,,,,,,,,IKLA,Movistar Riders,Ancient,14 - 16,L
,,,,,,,,,,,,,,IKLA,Movistar Riders,Inferno,13 - 9,W
,,,,,,,,,,,,,,IKLA,Movistar Riders,Anubis,10 - 13,L
,,,,,,,,,,,,,,IKLA,ORKS,Mirage,13 - 10,W
,,,,,,,,,,,,,,IKLA,ORKS,Nuke,8 - 13,L
,,,,,,,,,,,,,,IKLA,ORKS,Ancient,13 - 5,W
,,,,,,,,,,,,,,IKLA,Anonymo,Nuke,13 - 16,L
,,,,,,,,,,,,,,IKLA,Anonymo,Ancient,3 - 13,L
,,,,,,,,,,,,,,IKLA,500,Mirage,13 - 11,W
,,,,,,,,,,,,,,IKLA,500,Ancient,13 - 10,W
,,,,,,,,,,,,,,IKLA,Betera,Ancient,9 - 13,L
,,,,,,,,,,,,,,IKLA,Betera,Overpass,11 - 13,L
,,,,,,,,,,,,,,IKLA,PERA,Anubis,4 - 13,L
,,,,,,,,,,,,,,IKLA,Aurora,Overpass,13 - 10,W
,,,,,,,,,,,,,,IKLA,HEROIC,Overpass,15 - 19,L
,,,,,,,,,,,,,,IKLA,00NATION,Ancient,16 - 14,W
,,,,,,,,,,,,,,IKLA,BLEED,Inferno,4 - 13,L
,,,,,,,,,,,,,,IKLA,9 Pandas,Ancient,13 - 6,W
,,,,,,,,,,,,,,IKLA,RUSH B,Inferno,3 - 13,L
,,,,,,,,,,,,,,IKLA,Preasy,Anubis,6 - 13,L
,,,,,,,,,,,,,,IKLA,Entropiq,Anubis,13 - 5,W
,,,,,,,,,,,,,,IKLA,Alliance,Inferno,2 - 13,L
,,,,,,,,,,,,,,IKLA,Sangal,Overpass,3 - 13,L
,,,,,,,,,,,,,,IKLA,Espionage,Nuke,9 - 13,L
,,,,,,,,,,,,,,IKLA,500,Vertigo,5 - 13,L
,,,,,,,,,,,,,,IKLA,TSM,Nuke,16 - 13,W
,,,,,,,,,,,,,,IKLA,1WIN,Nuke,12 - 16,L
,,,,,,,,,,,,,,IKLA,Espionage,Nuke,1 - 13,L
,,,,,,,,,,,,,,IKLA,PERA,Anubis,4 - 13,L
,,,,,,,,,,,,,,IKLA,Aurora,Overpass,13 - 10,W
,,,,,,,,,,,,,,IKLA,HEROIC,Overpass,15 - 19,L
,,,,,,,,,,,,,,IKLA,00NATION,Ancient,16 - 14,W
,,,,,,,,,,,,,,IKLA,BLEED,Inferno,4 - 13,L
,,,,,,,,,,,,,,IKLA,9 Pandas,Ancient,13 - 6,W
,,,,,,,,,,,,,,IKLA,9 Pandas,Anubis,13 - 3,W
,,,,,,,,,,,,,,IKLA,RUSH B,Inferno,3 - 13,L
,,,,,,,,,,,,,,IKLA,RUSH B,Ancient,13 - 5,W
,,,,,,,,,,,,,,IKLA,RUSH B,Nuke,9 - 13,L
,,,,,,,,,,,,,,IKLA,Preasy,Anubis,6 - 13,L
,,,,,,,,,,,,,,IKLA,Preasy,Inferno,13 - 16,L
,,,,,,,,,,,,,,IKLA,Entropiq,Anubis,13 - 5,W
,,,,,,,,,,,,,,IKLA,Entropiq,Ancient,13 - 9,W
,,,,,,,,,,,,,,IKLA,Entropiq,Nuke,8 - 13,L
,,,,,,,,,,,,,,IKLA,Alliance,Inferno,2 - 13,L
,,,,,,,,,,,,,,IKLA,Alliance,Vertigo,10 - 13,L
,,,,,,,,,,,,,,IKLA,Alliance,Ancient,13 - 11,W
,,,,,,,,,,,,,,IKLA,Sangal,Overpass,3 - 13,L
,,,,,,,,,,,,,,IKLA,Sangal,Inferno,13 - 2,W
,,,,,,,,,,,,,,IKLA,Sangal,Anubis,9 - 13,L
,,,,,,,,,,,,,,IKLA,Espionage,Nuke,9 - 13,L
,,,,,,,,,,,,,,IKLA,Espionage,Overpass,5 - 13,L
,,,,,,,,,,,,,,IKLA,500,Vertigo,5 - 13,L
,,,,,,,,,,,,,,IKLA,500,Ancient,11 - 13,L
,,,,,,,,,,,,,,IKLA,TSM,Nuke,16 - 13,W
,,,,,,,,,,,,,,IKLA,TSM,Mirage,13 - 11,W
,,,,,,,,,,,,,,IKLA,1WIN,Nuke,12 - 16,L
,,,,,,,,,,,,,,IKLA,1WIN,Ancient,15 - 19,L
,,,,,,,,,,,,,,IKLA,Espionage,Nuke,1 - 13,L
,,,,,,,,,,,,,,IKLA,Espionage,Ancient,3 - 13,L
,,,,,,,,,,,,,,9INE,KOI,Nuke,4 - 13,L
,,,,,,,,,,,,,,9INE,TSM,Vertigo,6 - 13,L
,,,,,,,,,,,,,,9INE,ECLOT,Overpass,3 - 13,L
,,,,,,,,,,,,,,9INE,Alliance,Ancient,13 - 9,W
,,,,,,,,,,,,,,9INE,Entropiq,Overpass,10 - 13,L
,,,,,,,,,,,,,,9INE,BLEED,Mirage,6 - 13,L
,,,,,,,,,,,,,,9INE,KOI,Vertigo,11 - 13,L
,,,,,,,,,,,,,,9INE,xGOD,Anubis,13 - 6,W
,,,,,,,,,,,,,,9INE,BetBoom,Nuke,13 - 6,W
,,,,,,,,,,,,,,9INE,EYEBALLERS,Overpass,3 - 13,L
,,,,,,,,,,,,,,9INE,PALOMA,Nuke,9 - 13,L
,,,,,,,,,,,,,,9INE,Spirit,Anubis,5 - 13,L
,,,,,,,,,,,,,,9INE,FORZE,Anubis,16 - 14,W
,,,,,,,,,,,,,,9INE,Looking4Org,Anubis,9 - 13,L
,,,,,,,,,,,,,,9INE,1WIN,Vertigo,13 - 10,W
,,,,,,,,,,,,,,9INE,BIG,Ancient,0 - 13,L
,,,,,,,,,,,,,,9INE,Movistar Riders,Vertigo,14 - 16,L
,,,,,,,,,,,,,,9INE,Pompa,Anubis,13 - 11,W
,,,,,,,,,,,,,,9INE,ORKS,Overpass,13 - 6,W
,,,,,,,,,,,,,,9INE,KOI,Nuke,4 - 13,L
,,,,,,,,,,,,,,9INE,KOI,Anubis,8 - 13,L
,,,,,,,,,,,,,,9INE,TSM,Vertigo,6 - 13,L
,,,,,,,,,,,,,,9INE,TSM,Mirage,3 - 13,L
,,,,,,,,,,,,,,9INE,ECLOT,Overpass,3 - 13,L
,,,,,,,,,,,,,,9INE,ECLOT,Ancient,9 - 13,L
,,,,,,,,,,,,,,9INE,Alliance,Ancient,13 - 9,W
,,,,,,,,,,,,,,9INE,Alliance,Vertigo,13 - 8,W
,,,,,,,,,,,,,,9INE,Alliance,Anubis,7 - 13,L
,,,,,,,,,,,,,,9INE,Entropiq,Overpass,10 - 13,L
,,,,,,,,,,,,,,9INE,Entropiq,Nuke,13 - 5,W
,,,,,,,,,,,,,,9INE,Entropiq,Mirage,8 - 13,L
,,,,,,,,,,,,,,9INE,BLEED,Mirage,6 - 13,L
,,,,,,,,,,,,,,9INE,BLEED,Anubis,10 - 13,L
,,,,,,,,,,,,,,9INE,KOI,Vertigo,11 - 13,L
,,,,,,,,,,,,,,9INE,KOI,Nuke,3 - 13,L
,,,,,,,,,,,,,,9INE,KOI,Ancient,13 - 5,W
,,,,,,,,,,,,,,9INE,xGOD,Anubis,13 - 6,W
,,,,,,,,,,,,,,9INE,BetBoom,Nuke,13 - 6,W
,,,,,,,,,,,,,,9INE,BetBoom,Mirage,10 - 13,L
,,,,,,,,,,,,,,9INE,BetBoom,Ancient,16 - 13,W
,,,,,,,,,,,,,,9INE,EYEBALLERS,Overpass,3 - 13,L
,,,,,,,,,,,,,,9INE,EYEBALLERS,Vertigo,13 - 7,W
,,,,,,,,,,,,,,9INE,EYEBALLERS,Mirage,4 - 13,L
,,,,,,,,,,,,,,9INE,PALOMA,Nuke,9 - 13,L
,,,,,,,,,,,,,,9INE,PALOMA,Ancient,13 - 16,L
,,,,,,,,,,,,,,9INE,Spirit,Anubis,5 - 13,L
,,,,,,,,,,,,,,9INE,Spirit,Mirage,7 - 13,L
,,,,,,,,,,,,,,9INE,Spirit,Nuke,19 - 16,W
,,,,,,,,,,,,,,9INE,FORZE,Anubis,16 - 14,W
,,,,,,,,,,,,,,9INE,FORZE,Nuke,19 - 16,W
,,,,,,,,,,,,,,9INE,Looking4Org,Anubis,9 - 13,L
,,,,,,,,,,,,,,9INE,Looking4Org,Nuke,11 - 13,L
,,,,,,,,,,,,,,9INE,Looking4Org,Ancient,13 - 8,W
,,,,,,,,,,,,,,9INE,1WIN,Vertigo,13 - 10,W
,,,,,,,,,,,,,,9INE,1WIN,Nuke,13 - 4,W
,,,,,,,,,,,,,,9INE,BIG,Ancient,0 - 13,L
,,,,,,,,,,,,,,9INE,BIG,Anubis,22 - 20,W
,,,,,,,,,,,,,,9INE,BIG,Vertigo,11 - 13,L
,,,,,,,,,,,,,,9INE,Movistar Riders,Vertigo,14 - 16,L
,,,,,,,,,,,,,,9INE,Movistar Riders,Ancient,4 - 13,L
,,,,,,,,,,,,,,9INE,Pompa,Anubis,13 - 11,W
,,,,,,,,,,,,,,9INE,Pompa,Overpass,13 - 6,W
,,,,,,,,,,,,,,9INE,Pompa,Mirage,8 - 13,L
,,,,,,,,,,,,,,9INE,ORKS,Overpass,13 - 6,W
,,,,,,,,,,,,,,9INE,ORKS,Ancient,13 - 10,W
,,,,,,,,,,,,,,9INE,9 Pandas,Overpass,14 - 16,L
,,,,,,,,,,,,,,9INE,EYEBALLERS,Anubis,10 - 13,L
,,,,,,,,,,,,,,9INE,ILIN,Anubis,6 - 13,L
,,,,,,,,,,,,,,9INE,Sangal,Vertigo,9 - 13,L
,,,,,,,,,,,,,,9INE,Alliance,Overpass,5 - 13,L
,,,,,,,,,,,,,,9INE,JANO,Ancient,14 - 16,L
,,,,,,,,,,,,,,9INE,Zero Tenacity,Nuke,13 - 8,W
,,,,,,,,,,,,,,9INE,BIG,Vertigo,7 - 13,L
,,,,,,,,,,,,,,9INE,FORZE,Ancient,16 - 13,W
,,,,,,,,,,,,,,9INE,SINNERS,Nuke,9 - 13,L
,,,,,,,,,,,,,,9INE,Anonymo,Mirage,13 - 8,W
,,,,,,,,,,,,,,9INE,Apeks,Anubis,13 - 10,W
,,,,,,,,,,,,,,9INE,Spirit,Nuke,10 - 13,L
,,,,,,,,,,,,,,9INE,SINNERS,Nuke,13 - 9,W
,,,,,,,,,,,,,,9INE,Apeks,Vertigo,8 - 13,L
,,,,,,,,,,,,,,9INE,Astralis,Mirage,13 - 11,W
,,,,,,,,,,,,,,9INE,Spirit,Mirage,4 - 13,L
,,,,,,,,,,,,,,9INE,Falcons,Ancient,13 - 8,W
,,,,,,,,,,,,,,9INE,Betera,Anubis,13 - 2,W
,,,,,,,,,,,,,,9INE,9 Pandas,Overpass,14 - 16,L
,,,,,,,,,,,,,,9INE,9 Pandas,Mirage,5 - 13,L
,,,,,,,,,,,,,,9INE,EYEBALLERS,Anubis,10 - 13,L
,,,,,,,,,,,,,,9INE,EYEBALLERS,Vertigo,13 - 9,W
,,,,,,,,,,,,,,9INE,EYEBALLERS,Overpass,10 - 13,L
,,,,,,,,,,,,,,9INE,ILIN,Anubis,6 - 13,L
,,,,,,,,,,,,,,9INE,Sangal,Vertigo,9 - 13,L
,,,,,,,,,,,,,,9INE,Sangal,Ancient,13 - 16,L
,,,,,,,,,,,,,,9INE,Alliance,Overpass,5 - 13,L
,,,,,,,,,,,,,,9INE,Alliance,Vertigo,11 - 13,L
,,,,,,,,,,,,,,9INE,JANO,Ancient,14 - 16,L
,,,,,,,,,,,,,,9INE,Zero Tenacity,Nuke,13 - 8,W
,,,,,,,,,,,,,,9INE,BIG,Vertigo,7 - 13,L
,,,,,,,,,,,,,,9INE,BIG,Overpass,11 - 13,L
,,,,,,,,,,,,,,9INE,FORZE,Ancient,16 - 13,W
,,,,,,,,,,,,,,9INE,FORZE,Nuke,13 - 8,W
,,,,,,,,,,,,,,9INE,SINNERS,Nuke,9 - 13,L
,,,,,,,,,,,,,,9INE,SINNERS,Ancient,21 - 25,L
,,,,,,,,,,,,,,9INE,Anonymo,Mirage,13 - 8,W
,,,,,,,,,,,,,,9INE,Anonymo,Ancient,13 - 9,W
,,,,,,,,,,,,,,9INE,Apeks,Anubis,13 - 10,W
,,,,,,,,,,,,,,9INE,Apeks,Mirage,13 - 5,W
,,,,,,,,,,,,,,9INE,Spirit,Nuke,10 - 13,L
,,,,,,,,,,,,,,9INE,Spirit,Mirage,10 - 13,L
,,,,,,,,,,,,,,9INE,SINNERS,Nuke,13 - 9,W
,,,,,,,,,,,,,,9INE,SINNERS,Ancient,13 - 8,W
,,,,,,,,,,,,,,9INE,Apeks,Vertigo,8 - 13,L
,,,,,,,,,,,,,,9INE,Apeks,Mirage,7 - 13,L
,,,,,,,,,,,,,,9INE,Astralis,Mirage,13 - 11,W
,,,,,,,,,,,,,,9INE,Astralis,Ancient,13 - 9,W
,,,,,,,,,,,,,,9INE,Spirit,Mirage,4 - 13,L
,,,,,,,,,,,,,,9INE,Spirit,Overpass,3 - 13,L
,,,,,,,,,,,,,,9INE,Falcons,Ancient,13 - 8,W
,,,,,,,,,,,,,,9INE,Falcons,Anubis,13 - 7,W
,,,,,,,,,,,,,,9INE,Betera,Anubis,13 - 2,W
,,,,,,,,,,,,,,9INE,Betera,Ancient,8 - 13,L
,,,,,,,,,,,,,,9INE,Betera,Overpass,13 - 2,W
,,,,,,,,,,,,,,ARCRED,The Chosen Few,Mirage,4 - 13,L
,,,,,,,,,,,,,,ARCRED,RUBY,Vertigo,1 - 13,L
,,,,,,,,,,,,,,ARCRED,FORZE,Ancient,6 - 13,L
,,,,,,,,,,,,,,ARCRED,Espionage,Anubis,9 - 13,L
,,,,,,,,,,,,,,ARCRED,Espionage,Ancient,7 - 13,L
,,,,,,,,,,,,,,ARCRED,Metizport,Nuke,11 - 13,L
,,,,,,,,,,,,,,ARCRED,Sprout,Inferno,5 - 13,L
,,,,,,,,,,,,,,ARCRED,Spirit Academy,Anubis,13 - 8,W
,,,,,,,,,,,,,,ARCRED,Alliance,Mirage,13 - 11,W
,,,,,,,,,,,,,,ARCRED,MOUZ NXT,Inferno,9 - 13,L
,,,,,,,,,,,,,,ARCRED,ECSTATIC,Inferno,13 - 8,W
,,,,,,,,,,,,,,ARCRED,BetBoom,Anubis,7 - 13,L
,,,,,,,,,,,,,,ARCRED,OG,Ancient,13 - 11,W
,,,,,,,,,,,,,,ARCRED,Sangal,Mirage,16 - 19,L
,,,,,,,,,,,,,,ARCRED,B8,Anubis,8 - 13,L
,,,,,,,,,,,,,,ARCRED,Preasy,Overpass,16 - 13,W
,,,,,,,,,,,,,,ARCRED,FatherS And Sons,Anubis,10 - 13,L
,,,,,,,,,,,,,,ARCRED,Insilio,Ancient,16 - 13,W
,,,,,,,,,,,,,,ARCRED,The Chosen Few,Mirage,4 - 13,L
,,,,,,,,,,,,,,ARCRED,The Chosen Few,Vertigo,13 - 7,W
,,,,,,,,,,,,,,ARCRED,The Chosen Few,Inferno,11 - 13,L
,,,,,,,,,,,,,,ARCRED,RUBY,Vertigo,1 - 13,L
,,,,,,,,,,,,,,ARCRED,RUBY,Anubis,13 - 6,W
,,,,,,,,,,,,,,ARCRED,RUBY,Nuke,3 - 13,L
,,,,,,,,,,,,,,ARCRED,FORZE,Ancient,6 - 13,L
,,,,,,,,,,,,,,ARCRED,Espionage,Anubis,9 - 13,L
,,,,,,,,,,,,,,ARCRED,Espionage,Inferno,9 - 13,L
,,,,,,,,,,,,,,ARCRED,Espionage,Nuke,19 - 16,W
,,,,,,,,,,,,,,ARCRED,Espionage,Ancient,7 - 13,L
,,,,,,,,,,,,,,ARCRED,Metizport,Nuke,11 - 13,L
,,,,,,,,,,,,,,ARCRED,Metizport,Vertigo,4 - 13,L
,,,,,,,,,,,,,,ARCRED,Sprout,Inferno,5 - 13,L
,,,,,,,,,,,,,,ARCRED,Sprout,Anubis,10 - 13,L
,,,,,,,,,,,,,,ARCRED,Sprout,Vertigo,13 - 7,W
,,,,,,,,,,,,,,ARCRED,Spirit Academy,Anubis,13 - 8,W
,,,,,,,,,,,,,,ARCRED,Spirit Academy,Nuke,13 - 7,W
,,,,,,,,,,,,,,ARCRED,Alliance,Mirage,13 - 11,W
,,,,,,,,,,,,,,ARCRED,Alliance,Vertigo,13 - 11,W
,,,,,,,,,,,,,,ARCRED,Alliance,Anubis,4 - 13,L
,,,,,,,,,,,,,,ARCRED,MOUZ NXT,Inferno,9 - 13,L
,,,,,,,,,,,,,,ARCRED,ECSTATIC,Inferno,13 - 8,W
,,,,,,,,,,,,,,ARCRED,BetBoom,Anubis,7 - 13,L
,,,,,,,,,,,,,,ARCRED,BetBoom,Nuke,7 - 13,L
,,,,,,,,,,,,,,ARCRED,OG,Ancient,13 - 11,W
,,,,,,,,,,,,,,ARCRED,OG,Anubis,13 - 9,W
,,,,,,,,,,,,,,ARCRED,Sangal,Mirage,16 - 19,L
,,,,,,,,,,,,,,ARCRED,Sangal,Vertigo,13 - 10,W
,,,,,,,,,,,,,,ARCRED,Sangal,Anubis,6 - 13,L
,,,,,,,,,,,,,,ARCRED,B8,Anubis,8 - 13,L
,,,,,,,,,,,,,,ARCRED,B8,Mirage,13 - 3,W
,,,,,,,,,,,,,,ARCRED,B8,Ancient,8 - 13,L
,,,,,,,,,,,,,,ARCRED,Preasy,Overpass,16 - 13,W
,,,,,,,,,,,,,,ARCRED,Preasy,Mirage,16 - 12,W
,,,,,,,,,,,,,,ARCRED,FatherS And Sons,Anubis,10 - 13,L
,,,,,,,,,,,,,,ARCRED,FatherS And Sons,Vertigo,10 - 13,L
,,,,,,,,,,,,,,ARCRED,Insilio,Ancient,16 - 13,W
,,,,,,,,,,,,,,ARCRED,Insilio,Vertigo,20 - 22,L
,,,,,,,,,,,,,,ARCRED,Insilio,Anubis,16 - 12,W
,,,,,,,,,,,,,,ARCRED,FORZE YNG,Anubis,31 - 29,W
,,,,,,,,,,,,,,ARCRED,1WIN,Inferno,16 - 13,W
,,,,,,,,,,,,,,ARCRED,Illuminar,Mirage,12 - 16,L
,,,,,,,,,,,,,,ARCRED,FTW,Vertigo,10 - 13,L
,,,,,,,,,,,,,,ARCRED,Space,Mirage,6 - 13,L
,,,,,,,,,,,,,,ARCRED,showmakerz,Mirage,13 - 7,W
,,,,,,,,,,,,,,ARCRED,Sashi,Inferno,13 - 3,W
,,,,,,,,,,,,,,ARCRED,Espionage,Anubis,11 - 13,L
,,,,,,,,,,,,,,ARCRED,Nouns,Overpass,13 - 8,W
,,,,,,,,,,,,,,ARCRED,Pompa,Nuke,12 - 16,L
,,,,,,,,,,,,,,ARCRED,Aurora Young Blud,Mirage,4 - 13,L
,,,,,,,,,,,,,,ARCRED,Bad News Eagles,Vertigo,13 - 8,W
,,,,,,,,,,,,,,ARCRED,The Chosen Few,Mirage,13 - 9,W
,,,,,,,,,,,,,,ARCRED,Sampi,Mirage,13 - 8,W
,,,,,,,,,,,,,,ARCRED,Gucci Academy,Overpass,7 - 13,L
,,,,,,,,,,,,,,ARCRED,Metizport,Mirage,11 - 13,L
,,,,,,,,,,,,,,ARCRED,Alliance,Inferno,13 - 10,W
,,,,,,,,,,,,,,ARCRED,FORZE YNG,Anubis,31 - 29,W
,,,,,,,,,,,,,,ARCRED,FORZE YNG,Vertigo,13 - 8,W
,,,,,,,,,,,,,,ARCRED,1WIN,Inferno,16 - 13,W
,,,,,,,,,,,,,,ARCRED,1WIN,Ancient,13 - 6,W
,,,,,,,,,,,,,,ARCRED,Illuminar,Mirage,12 - 16,L
,,,,,,,,,,,,,,ARCRED,Illuminar,Nuke,9 - 13,L
,,,,,,,,,,,,,,ARCRED,Illuminar,Ancient,13 - 10,W
,,,,,,,,,,,,,,ARCRED,FTW,Vertigo,10 - 13,L
,,,,,,,,,,,,,,ARCRED,FTW,Ancient,19 - 16,W
,,,,,,,,,,,,,,ARCRED,FTW,Inferno,8 - 13,L
,,,,,,,,,,,,,,ARCRED,Space,Mirage,6 - 13,L
,,,,,,,,,,,,,,ARCRED,showmakerz,Mirage,13 - 7,W
,,,,,,,,,,,,,,ARCRED,showmakerz,Anubis,16 - 19,L
,,,,,,,,,,,,,,ARCRED,showmakerz,Ancient,13 - 9,W
,,,,,,,,,,,,,,ARCRED,Sashi,Inferno,13 - 3,W
,,,,,,,,,,,,,,ARCRED,Espionage,Anubis,11 - 13,L
,,,,,,,,,,,,,,ARCRED,Espionage,Overpass,4 - 13,L
,,,,,,,,,,,,,,ARCRED,Nouns,Overpass,13 - 8,W
,,,,,,,,,,,,,,ARCRED,Nouns,Ancient,13 - 11,W
,,,,,,,,,,,,,,ARCRED,Pompa,Nuke,12 - 16,L
,,,,,,,,,,,,,,ARCRED,Pompa,Ancient,14 - 16,L
,,,,,,,,,,,,,,ARCRED,Aurora Young Blud,Mirage,4 - 13,L
,,,,,,,,,,,,,,ARCRED,Aurora Young Blud,Vertigo,7 - 13,L
,,,,,,,,,,,,,,ARCRED,Aurora Young Blud,Inferno,13 - 11,W
,,,,,,,,,,,,,,ARCRED,Bad News Eagles,Vertigo,13 - 8,W
,,,,,,,,,,,,,,ARCRED,Bad News Eagles,Mirage,13 - 10,W
,,,,,,,,,,,,,,ARCRED,Bad News Eagles,Inferno,11 - 13,L
,,,,,,,,,,,,,,ARCRED,The Chosen Few,Mirage,13 - 9,W
,,,,,,,,,,,,,,ARCRED,The Chosen Few,Vertigo,13 - 11,W
,,,,,,,,,,,,,,ARCRED,The Chosen Few,Anubis,11 - 13,L
,,,,,,,,,,,,,,ARCRED,Sampi,Mirage,13 - 8,W
,,,,,,,,,,,,,,ARCRED,Sampi,Vertigo,13 - 7,W
,,,,,,,,,,,,,,ARCRED,Sampi,Ancient,8 - 13,L
,,,,,,,,,,,,,,ARCRED,Gucci Academy,Overpass,7 - 13,L
,,,,,,,,,,,,,,ARCRED,Gucci Academy,Anubis,13 - 9,W
,,,,,,,,,,,,,,ARCRED,Gucci Academy,Ancient,11 - 13,L
,,,,,,,,,,,,,,ARCRED,Metizport,Mirage,11 - 13,L
,,,,,,,,,,,,,,ARCRED,Metizport,Inferno,11 - 13,L
