team,maps_played,wins_draws_lose,total_kills,total_death,k_d_ratio,team,name,total_kills_from_crew,headshots_from_crew,total_death_from_crew,k_d_ratio_from_crew,maps_played_from_crew,rating_2_0_from_crew,team,opponent,map_map,result,w_l
,,,,,,,,,,,,,,BIG,BLEED,Vertigo,16 - 19,L
,,,,,,,,,,,,,,BIG,HEROIC,Anubis,7 - 13,L
,,,,,,,,,,,,,,BIG,Astralis,Ancient,14 - 16,L
,,,,,,,,,,,,,,BIG,Cloud9,Anubis,13 - 10,W
,,,,,,,,,,,,,,BIG,Virtus.pro,Vertigo,8 - 13,L
,,,,,,,,,,,,,,BIG,fnatic,Ancient,8 - 13,L
,,,,,,,,,,,,,,BIG,Permitta,Overpass,16 - 13,W
,,,,,,,,,,,,,,BIG,Aurora,Ancient,13 - 11,W
,,,,,,,,,,,,,,BIG,Aurora,Ancient,13 - 8,W
,,,,,,,,,,,,,,BIG,9 Pandas,Ancient,13 - 5,W
,,,,,,,,,,,,,,BIG,Zero Tenacity,Vertigo,13 - 7,W
,,,,,,,,,,,,,,BIG,paiN,Anubis,9 - 13,L
,,,,,,,,,,,,,,BIG,SINNERS,Anubis,13 - 3,W
,,,,,,,,,,,,,,BIG,00NATION,Overpass,13 - 10,W
,,,,,,,,,,,,,,BIG,TSM,Nuke,13 - 6,W
,,,,,,,,,,,,,,BIG,Cloud9,Nuke,9 - 13,L
,,,,,,,,,,,,,,BIG,HEROIC,Vertigo,9 - 13,L
,,,,,,,,,,,,,,BIG,Aurora,Nuke,10 - 13,L
,,,,,,,,,,,,,,BIG,Apeks,Anubis,16 - 13,W
,,,,,,,,,,,,,,BIG,Anonymo,Nuke,13 - 1,W
,,,,,,,,,,,,,,BIG,9 Pandas,Overpass,7 - 13,L
,,,,,,,,,,,,,,BIG,FORZE,Nuke,13 - 6,W
,,,,,,,,,,,,,,BIG,FORZE,Anubis,16 - 14,W
,,,,,,,,,,,,,,BIG,FORZE,Ancient,10 - 13,L
,,,,,,,,,,,,,,BIG,BetBoom,Ancient,7 - 13,L
,,,,,,,,,,,,,,BIG,BetBoom,Anubis,6 - 13,L
,,,,,,,,,,,,,,BIG,BetBoom,Overpass,13 - 9,W
